index,Periodo1,Total1,index2,Periodo2,Total2,Total,Año
1,2008S2,4181,0,2008S1,5385,9566,2008
3,2009S2,4478,2,2009S1,4751,9229,2009
5,2010S2,5093,4,2010S1,4802,9895,2010
7,2011S2,7193,6,2011S1,6250,13443,2011
9,2012S2,6984,8,2012S1,5776,12760,2012
11,2013S2,7855,10,2013S1,7807,15662,2013
13,2014S2,9372,12,2014S1,8858,18230,2014
15,2015S2,10640,14,2015S1,9190,19830,2015
17,2016S2,8088,16,2016S1,10541,18629,2016
19,2017S2,7818,18,2017S1,7170,14988,2017
21,2018S2,8104,20,2018S1,8794,16898,2018
23,2019S2,8086,22,2019S1,8959,17045,2019
25,2020S2,6384,24,2020S1,9201,15585,2020
