Edad,Motivo,Total
Menos de 25 años,Demasiado joven para tener hijos,48.16
Menos de 25 años,No he tenido una pareja o ésta no era adecuada,3.41
Menos de 25 años,No quiero ser madre,27.26
Menos de 25 años,Deseaba seguir estudiando,13.64
Menos de 25 años,Por razones de salud,0.31
Menos de 25 años,Por razones económicas,1.25
Menos de 25 años,Por razones laborales o de conciliación de la vida familiar y laboral,1.65
De 25 a 29 años,Demasiado joven para tener hijos,21.74
De 25 a 29 años,No he tenido una pareja o ésta no era adecuada,10.39
De 25 a 29 años,No quiero ser madre,31.31
De 25 a 29 años,Deseaba seguir estudiando,7.1
De 25 a 29 años,Por razones de salud,1.4
De 25 a 29 años,Por razones económicas,6.42
De 25 a 29 años,Por razones laborales o de conciliación de la vida familiar y laboral,8.96
De 30 a 34 años,Demasiado joven para tener hijos,3.61
De 30 a 34 años,No he tenido una pareja o ésta no era adecuada,17.12
De 30 a 34 años,No quiero ser madre,34.28
De 30 a 34 años,Deseaba seguir estudiando,3.23
De 30 a 34 años,Por razones de salud,1.67
De 30 a 34 años,Por razones económicas,13.79
De 30 a 34 años,Por razones laborales o de conciliación de la vida familiar y laboral,6.22
De 35 a 39 años,Demasiado joven para tener hijos,1.67
De 35 a 39 años,No he tenido una pareja o ésta no era adecuada,17.33
De 35 a 39 años,No quiero ser madre,43.23
De 35 a 39 años,Deseaba seguir estudiando,3.5
De 35 a 39 años,Por razones de salud,1.47
De 35 a 39 años,Por razones económicas,4.72
De 35 a 39 años,Por razones laborales o de conciliación de la vida familiar y laboral,14.45
De 40 a 44 años,Demasiado joven para tener hijos,1.76
De 40 a 44 años,No he tenido una pareja o ésta no era adecuada,16.53
De 40 a 44 años,No quiero ser madre,47.83
De 40 a 44 años,Deseaba seguir estudiando,0.49
De 40 a 44 años,Por razones de salud,5.66
De 40 a 44 años,Por razones económicas,2.62
De 40 a 44 años,Por razones laborales o de conciliación de la vida familiar y laboral,7.98
De 45 a 49 años,Demasiado joven para tener hijos,0.64
De 45 a 49 años,No he tenido una pareja o ésta no era adecuada,18.76
De 45 a 49 años,No quiero ser madre,46.37
De 45 a 49 años,Deseaba seguir estudiando,0.91
De 45 a 49 años,Por razones de salud,6.18
De 45 a 49 años,Por razones económicas,1.9
De 45 a 49 años,Por razones laborales o de conciliación de la vida familiar y laboral,9.03
