Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2022,"10,9 €/m2","+ 1,2 %","+ 2,2 %","+ 1,1 %"
Marzo 2022,"10,8 €/m2","+ 0,2 %","+ 1,9 %","- 0,1 %"
Febrero 2022,"10,7 €/m2","+ 0,8 %","+ 2,1 %","- 0,9 %"
Enero 2022,"10,6 €/m2","+ 0,9 %","+ 1,3 %","- 2,8 %"
Diciembre 2021,"10,6 €/m2","+ 0,4 %","+ 0,1 %","- 4,5 %"
Noviembre 2021,"10,5 €/m2","0,0 %","- 1,4 %","- 5,9 %"
Octubre 2021,"10,5 €/m2","- 0,4 %","- 1,7 %","- 7,1 %"
Septiembre 2021,"10,5 €/m2","- 1,0 %","- 1,4 %","- 8,1 %"
Agosto 2021,"10,7 €/m2","- 0,3 %","- 0,4 %","- 6,7 %"
Julio 2021,"10,7 €/m2","- 0,1 %","- 0,6 %","- 5,7 %"
Junio 2021,"10,7 €/m2","- 0,1 %","- 0,6 %","- 5,6 %"
Mayo 2021,"10,7 €/m2","- 0,5 %","- 1,2 %","- 6,0 %"
Abril 2021,"10,8 €/m2","- 0,1 %","- 1,8 %","- 5,5 %"
Marzo 2021,"10,8 €/m2","- 0,6 %","- 2,6 %","- 3,8 %"
Febrero 2021,"10,8 €/m2","- 1,2 %","- 3,0 %","- 2,0 %"
Enero 2021,"11,0 €/m2","- 0,9 %","- 3,2 %","- 0,1 %"
Diciembre 2020,"11,1 €/m2","- 1,0 %","- 3,7 %","+ 1,4 %"
Noviembre 2020,"11,2 €/m2","- 1,3 %","- 2,3 %","+ 3,6 %"
Octubre 2020,"11,3 €/m2","- 1,4 %","- 0,2 %","+ 5,2 %"
Septiembre 2020,"11,5 €/m2","+ 0,4 %","+ 1,3 %","+ 5,7 %"
Agosto 2020,"11,4 €/m2","+ 0,8 %","+ 0,4 %","+ 4,0 %"
Julio 2020,"11,3 €/m2","+ 0,1 %","- 0,4 %","+ 3,6 %"
Junio 2020,"11,3 €/m2","- 0,6 %","+ 1,2 %","+ 3,4 %"
Mayo 2020,"11,4 €/m2","+ 0,1 %","+ 3,1 %","+ 4,0 %"
Abril 2020,"11,4 €/m2","+ 1,7 %","+ 3,8 %","+ 5,1 %"
Marzo 2020,"11,2 €/m2","+ 1,2 %","+ 2,6 %","+ 5,0 %"
Febrero 2020,"11,1 €/m2","+ 0,8 %","+ 2,5 %","+ 5,6 %"
Enero 2020,"11,0 €/m2","+ 0,6 %","+ 1,9 %","+ 5,7 %"
Diciembre 2019,"10,9 €/m2","+ 1,2 %","+ 0,4 %","+ 4,8 %"
Noviembre 2019,"10,8 €/m2","+ 0,2 %","- 1,9 %","+ 3,9 %"
Octubre 2019,"10,8 €/m2","- 0,9 %","- 1,6 %","+ 4,5 %"
Septiembre 2019,"10,9 €/m2","- 1,2 %","- 0,9 %","+ 5,2 %"
Agosto 2019,"11,0 €/m2","+ 0,5 %","+ 0,3 %","+ 5,7 %"
Julio 2019,"10,9 €/m2","- 0,2 %","+ 1,1 %","+ 5,8 %"
Junio 2019,"11,0 €/m2","0,0 %","+ 2,8 %","+ 7,1 %"
Mayo 2019,"11,0 €/m2","+ 1,2 %","+ 4,6 %","+ 7,5 %"
Abril 2019,"10,8 €/m2","+ 1,5 %","+ 4,3 %","+ 6,3 %"
Marzo 2019,"10,7 €/m2","+ 1,8 %","+ 2,4 %","+ 6,6 %"
Febrero 2019,"10,5 €/m2","+ 0,9 %","+ 0,9 %","+ 6,3 %"
Enero 2019,"10,4 €/m2","- 0,3 %","+ 0,8 %","+ 7,2 %"
Diciembre 2018,"10,4 €/m2","+ 0,3 %","+ 0,8 %","+ 9,1 %"
Noviembre 2018,"10,4 €/m2","+ 0,8 %","- 0,2 %","+ 11,7 %"
Octubre 2018,"10,3 €/m2","- 0,2 %","- 0,4 %","+ 12,1 %"
Septiembre 2018,"10,3 €/m2","- 0,7 %","+ 0,8 %","+ 11,9 %"
Agosto 2018,"10,4 €/m2","+ 0,5 %","+ 2,0 %","+ 12,7 %"
Julio 2018,"10,3 €/m2","+ 1,0 %","+ 1,6 %","+ 13,4 %"
Junio 2018,"10,2 €/m2","+ 0,5 %","+ 2,4 %","+ 13,4 %"
Mayo 2018,"10,2 €/m2","+ 0,1 %","+ 3,4 %","+ 13,8 %"
Abril 2018,"10,2 €/m2","+ 1,8 %","+ 5,1 %","+ 14,6 %"
Marzo 2018,"10,0 €/m2","+ 1,5 %","+ 4,8 %","+ 14,2 %"
Febrero 2018,"9,9 €/m2","+ 1,8 %","+ 6,1 %","+ 14,7 %"
Enero 2018,"9,7 €/m2","+ 1,5 %","+ 5,3 %","+ 14,7 %"
Diciembre 2017,"9,5 €/m2","+ 2,7 %","+ 3,5 %","+ 14,7 %"
Noviembre 2017,"9,3 €/m2","+ 1,1 %","+ 0,7 %","+ 13,1 %"
Octubre 2017,"9,2 €/m2","- 0,4 %","+ 0,8 %","+ 12,7 %"
Septiembre 2017,"9,2 €/m2","0,0 %","+ 2,1 %","+ 13,4 %"
Agosto 2017,"9,2 €/m2","+ 1,2 %","+ 3,1 %","+ 13,2 %"
Julio 2017,"9,1 €/m2","+ 1,0 %","+ 2,7 %","+ 12,7 %"
Junio 2017,"9,0 €/m2","+ 0,9 %","+ 3,1 %","+ 12,8 %"
Mayo 2017,"9,0 €/m2","+ 0,8 %","+ 4,2 %","+ 12,4 %"
Abril 2017,"8,9 €/m2","+ 1,5 %","+ 5,2 %","+ 13,4 %"
Marzo 2017,"8,8 €/m2","+ 1,9 %","+ 5,2 %","+ 13,7 %"
Febrero 2017,"8,6 €/m2","+ 1,7 %","+ 4,5 %","+ 13,0 %"
Enero 2017,"8,4 €/m2","+ 1,5 %","+ 3,5 %","+ 12,6 %"
Diciembre 2016,"8,3 €/m2","+ 1,3 %","+ 2,3 %","+ 11,6 %"
Noviembre 2016,"8,2 €/m2","+ 0,8 %","+ 0,8 %","+ 9,7 %"
Octubre 2016,"8,2 €/m2","+ 0,3 %","+ 0,8 %","+ 9,0 %"
Septiembre 2016,"8,1 €/m2","- 0,2 %","+ 1,6 %","+ 8,0 %"
Agosto 2016,"8,2 €/m2","+ 0,8 %","+ 2,3 %","+ 7,7 %"
Julio 2016,"8,1 €/m2","+ 1,1 %","+ 3,3 %","+ 7,0 %"
Junio 2016,"8,0 €/m2","+ 0,5 %","+ 3,9 %","+ 6,8 %"
Mayo 2016,"8,0 €/m2","+ 1,7 %","+ 4,8 %","+ 6,9 %"
Abril 2016,"7,8 €/m2","+ 1,7 %","+ 4,5 %","+ 5,3 %"
Marzo 2016,"7,7 €/m2","+ 1,3 %","+ 3,3 %","+ 4,5 %"
Febrero 2016,"7,6 €/m2","+ 1,4 %","+ 1,5 %","+ 3,6 %"
Enero 2016,"7,5 €/m2","+ 0,5 %","+ 0,2 %","+ 3,2 %"
Diciembre 2015,"7,5 €/m2","- 0,5 %","- 1,0 %","+ 2,4 %"
Noviembre 2015,"7,5 €/m2","+ 0,1 %","- 1,0 %","+ 2,7 %"
Octubre 2015,"7,5 €/m2","- 0,6 %","- 1,0 %","+ 3,1 %"
Septiembre 2015,"7,5 €/m2","- 0,5 %","+ 0,5 %","+ 3,7 %"
Agosto 2015,"7,6 €/m2","+ 0,1 %","+ 1,6 %","+ 3,9 %"
Julio 2015,"7,6 €/m2","+ 0,9 %","+ 1,6 %","+ 4,3 %"
Junio 2015,"7,5 €/m2","+ 0,5 %","+ 1,6 %","+ 3,9 %"
