Edad;Motivo;Total
Menos de 30 años;Demasiado joven para tener hijos;39,38
Menos de 30 años;No he tenido una pareja o ésta no era adecuada;10,92
Menos de 30 años;No quiero ser padre;25,13
Menos de 30 años;Deseaba seguir estudiando;8,11
Menos de 30 años;Por razones de salud;0,62
Menos de 30 años;Por razones económicas;4,60
Menos de 30 años;Por razones laborales o de conciliación de la vida familiar y laboral;3,00
De 30 a 34 años;Demasiado joven para tener hijos;8,41
De 30 a 34 años;No he tenido una pareja o ésta no era adecuada;19,41
De 30 a 34 años;No quiero ser padre;26,40
De 30 a 34 años;Deseaba seguir estudiando;0,00
De 30 a 34 años;Por razones de salud;2,14
De 30 a 34 años;Por razones económicas;11,56
De 30 a 34 años;Por razones laborales o de conciliación de la vida familiar y laboral;8,36
De 35 a 39 años;Demasiado joven para tener hijos;3,36
De 35 a 39 años;No he tenido una pareja o ésta no era adecuada;19,40
De 35 a 39 años;No quiero ser padre;42,64
De 35 a 39 años;Deseaba seguir estudiando;2,73
De 35 a 39 años;Por razones de salud;1,65
De 35 a 39 años;Por razones económicas;8,11
De 35 a 39 años;Por razones laborales o de conciliación de la vida familiar y laboral;4,59
De 40 a 44 años;Demasiado joven para tener hijos;2,89
De 40 a 44 años;No he tenido una pareja o ésta no era adecuada;20,92
De 40 a 44 años;No quiero ser padre;56,78
De 40 a 44 años;Deseaba seguir estudiando;0,00
De 40 a 44 años;Por razones de salud;1,12
De 40 a 44 años;Por razones económicas;6,21
De 40 a 44 años;Por razones laborales o de conciliación de la vida familiar y laboral;4,39
De 45 a 49 años;Demasiado joven para tener hijos;0,00
De 45 a 49 años;No he tenido una pareja o ésta no era adecuada;41,59
De 45 a 49 años;No quiero ser padre;27,93
De 45 a 49 años;Deseaba seguir estudiando;0,00
De 45 a 49 años;Por razones de salud;8,65
De 45 a 49 años;Por razones económicas;13,20
De 45 a 49 años;Por razones laborales o de conciliación de la vida familiar y laboral;0,00
50 y más años;Demasiado joven para tener hijos;0,00
50 y más años;No he tenido una pareja o ésta no era adecuada;20,69
50 y más años;No quiero ser padre;38,85
50 y más años;Deseaba seguir estudiando;0,00
50 y más años;Por razones de salud;4,40
50 y más años;Por razones económicas;6,81
50 y más años;Por razones laborales o de conciliación de la vida familiar y laboral;3,18
