Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
01 Andalucía;Total;2020;65.522
01 Andalucía;Total;2019;69.397
01 Andalucía;Total;2018;71.029
01 Andalucía;Total;2017;74.684
01 Andalucía;Total;2016;79.263
01 Andalucía;Total;2015;80.633
01 Andalucía;Total;2014;82.195
01 Andalucía;Total;2013;81.470
01 Andalucía;Total;2012;86.375
01 Andalucía;Total;2011;89.552
01 Andalucía;Total;2010;92.201
01 Andalucía;Total;2009;94.616
01 Andalucía;Total;2008;100.293
01 Andalucía;Total;2007;96.062
01 Andalucía;Total;2006;95.304
01 Andalucía;Total;2005;91.807
01 Andalucía;Total;2004;89.022
01 Andalucía;Total;2003;86.120
01 Andalucía;Total;2002;81.865
02 Aragón;Total;2020;9.095
02 Aragón;Total;2019;9.644
02 Aragón;Total;2018;9.977
02 Aragón;Total;2017;10.531
02 Aragón;Total;2016;10.929
02 Aragón;Total;2015;11.352
02 Aragón;Total;2014;11.602
02 Aragón;Total;2013;11.662
02 Aragón;Total;2012;11.980
02 Aragón;Total;2011;12.610
02 Aragón;Total;2010;12.940
02 Aragón;Total;2009;13.062
02 Aragón;Total;2008;13.675
02 Aragón;Total;2007;12.859
02 Aragón;Total;2006;12.280
02 Aragón;Total;2005;11.628
02 Aragón;Total;2004;11.458
02 Aragón;Total;2003;11.000
02 Aragón;Total;2002;10.363
03 Asturias, Principado de;Total;2020;4.771
03 Asturias, Principado de;Total;2019;5.152
03 Asturias, Principado de;Total;2018;5.733
03 Asturias, Principado de;Total;2017;6.012
03 Asturias, Principado de;Total;2016;6.347
03 Asturias, Principado de;Total;2015;6.455
03 Asturias, Principado de;Total;2014;6.600
03 Asturias, Principado de;Total;2013;6.671
03 Asturias, Principado de;Total;2012;7.622
03 Asturias, Principado de;Total;2011;7.782
03 Asturias, Principado de;Total;2010;7.763
03 Asturias, Principado de;Total;2009;8.210
03 Asturias, Principado de;Total;2008;8.221
03 Asturias, Principado de;Total;2007;7.833
03 Asturias, Principado de;Total;2006;7.596
03 Asturias, Principado de;Total;2005;7.482
03 Asturias, Principado de;Total;2004;7.218
03 Asturias, Principado de;Total;2003;7.107
03 Asturias, Principado de;Total;2002;6.729
04 Balears, Illes;Total;2020;9.455
04 Balears, Illes;Total;2019;9.681
04 Balears, Illes;Total;2018;10.285
04 Balears, Illes;Total;2017;10.288
04 Balears, Illes;Total;2016;10.616
04 Balears, Illes;Total;2015;10.597
04 Balears, Illes;Total;2014;10.673
04 Balears, Illes;Total;2013;10.532
04 Balears, Illes;Total;2012;11.002
04 Balears, Illes;Total;2011;11.265
04 Balears, Illes;Total;2010;11.967
04 Balears, Illes;Total;2009;12.044
04 Balears, Illes;Total;2008;12.713
04 Balears, Illes;Total;2007;11.917
04 Balears, Illes;Total;2006;11.675
04 Balears, Illes;Total;2005;10.925
04 Balears, Illes;Total;2004;10.792
04 Balears, Illes;Total;2003;10.654
04 Balears, Illes;Total;2002;10.420
05 Canarias;Total;2020;13.178
05 Canarias;Total;2019;14.137
05 Canarias;Total;2018;14.775
05 Canarias;Total;2017;15.779
05 Canarias;Total;2016;16.159
05 Canarias;Total;2015;16.146
05 Canarias;Total;2014;16.398
05 Canarias;Total;2013;15.859
05 Canarias;Total;2012;17.201
05 Canarias;Total;2011;17.423
05 Canarias;Total;2010;18.305
