"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2000","2000",113.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2001","2001",118.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2002","2002",124.6,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2003","2003",125.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2004","2004",132.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2005","2005",133.3,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2006","2006",132.9,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2007","2007",138.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2008","2008",142.7,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2009","2009",144.4,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2010","2010",145.8,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2011","2011",151.5,"D","Difference in methodology"
"PHARALIM","A-Alimentary tract and metabolism","NBPYEANB","Defined daily dosage per 1 000 inhabitants per day","AUS","Australia","2012","2012",153.5,"D","Difference in methodology"
