Sexo;Grupo quinquenal de edad;País de nacimiento;Nacionalidad;País destino;Periodo;Total
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2021S1;""
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2020S2;""
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2020S1;""
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2019S2;1.096
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2019S1;769
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2018S2;886
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2018S1;873
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2017S2;874
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2017S1;886
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2016S2;613
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2016S1;558
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2015S2;523
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2015S1;442
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2014S2;526
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2014S1;410
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2013S2;435
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2013S1;341
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2012S2;312
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2012S1;230
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2011S2;369
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2011S1;212
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2010S2;281
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2010S1;192
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2009S2;252
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2009S1;166
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2008S2;247
Ambos sexos;De 15 a 19 años  ;España;Total;UE28 sin España;2008S1;208
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2021S1;47
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2020S2;32
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2020S1;52
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2019S2;49
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2019S1;34
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2018S2;56
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2018S1;32
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2017S2;45
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2017S1;39
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2016S2;54
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2016S1;47
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2015S2;81
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2015S1;56
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2014S2;54
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2014S1;40
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2013S2;52
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2013S1;61
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2012S2;52
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2012S1;35
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2011S2;39
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2011S1;33
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2010S2;34
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2010S1;22
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2009S2;39
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2009S1;15
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2008S2;32
Ambos sexos;De 15 a 19 años  ;España;Total;Bélgica;2008S1;19
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2021S1;20
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2020S2;18
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2020S1;11
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2019S2;14
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2019S1;3
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2018S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2018S1;11
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2017S2;5
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2017S1;7
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2016S2;3
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2016S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2015S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2015S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2014S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2014S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2013S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2013S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2012S2;1
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2012S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2011S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2011S1;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2010S2;0
Ambos sexos;De 15 a 19 años  ;España;Total;Bulgaria;2010S1;0
