Provincias;Sexo;Generación;Periodo;Total
02 Albacete;Ambos sexos;16 años;2021S1;-2
02 Albacete;Ambos sexos;16 años;2020S2;3
02 Albacete;Ambos sexos;16 años;2020S1;5
02 Albacete;Ambos sexos;16 años;2019S2;4
02 Albacete;Ambos sexos;16 años;2019S1;-4
02 Albacete;Ambos sexos;16 años;2018S2;-8
02 Albacete;Ambos sexos;16 años;2018S1;7
02 Albacete;Ambos sexos;16 años;2017S2;-5
02 Albacete;Ambos sexos;16 años;2017S1;5
02 Albacete;Ambos sexos;16 años;2016S2;-14
02 Albacete;Ambos sexos;16 años;2016S1;3
02 Albacete;Ambos sexos;16 años;2015S2;9
02 Albacete;Ambos sexos;16 años;2015S1;-9
02 Albacete;Ambos sexos;16 años;2014S2;-10
02 Albacete;Ambos sexos;16 años;2014S1;-6
02 Albacete;Ambos sexos;16 años;2013S2;1
02 Albacete;Ambos sexos;16 años;2013S1;-4
02 Albacete;Ambos sexos;16 años;2012S2;-1
02 Albacete;Ambos sexos;16 años;2012S1;8
02 Albacete;Ambos sexos;16 años;2011S2;7
02 Albacete;Ambos sexos;16 años;2011S1;-11
02 Albacete;Ambos sexos;16 años;2010S2;3
02 Albacete;Ambos sexos;16 años;2010S1;0
02 Albacete;Ambos sexos;16 años;2009S2;-9
02 Albacete;Ambos sexos;16 años;2009S1;-2
02 Albacete;Ambos sexos;16 años;2008S2;-1
02 Albacete;Ambos sexos;16 años;2008S1;5
02 Albacete;Ambos sexos;17 años;2021S1;-1
02 Albacete;Ambos sexos;17 años;2020S2;0
02 Albacete;Ambos sexos;17 años;2020S1;-4
02 Albacete;Ambos sexos;17 años;2019S2;-10
02 Albacete;Ambos sexos;17 años;2019S1;-3
02 Albacete;Ambos sexos;17 años;2018S2;0
02 Albacete;Ambos sexos;17 años;2018S1;-1
02 Albacete;Ambos sexos;17 años;2017S2;0
02 Albacete;Ambos sexos;17 años;2017S1;0
02 Albacete;Ambos sexos;17 años;2016S2;-8
02 Albacete;Ambos sexos;17 años;2016S1;1
02 Albacete;Ambos sexos;17 años;2015S2;1
02 Albacete;Ambos sexos;17 años;2015S1;1
02 Albacete;Ambos sexos;17 años;2014S2;4
02 Albacete;Ambos sexos;17 años;2014S1;-2
02 Albacete;Ambos sexos;17 años;2013S2;-4
