Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Índice;2022M04;107,375
Índice general;Índice;2022M03;107,566
Índice general;Índice;2022M02;104,403
Índice general;Índice;2022M01;103,567
Índice general;Índice;2021M12;103,965
Índice general;Índice;2021M11;102,738
Índice general;Índice;2021M10;102,425
Índice general;Índice;2021M09;100,575
Índice general;Índice;2021M08;99,743
Índice general;Índice;2021M07;99,292
Índice general;Índice;2021M06;100,046
Índice general;Índice;2021M05;99,572
Índice general;Índice;2021M04;99,105
Índice general;Índice;2021M03;97,949
Índice general;Índice;2021M02;97,008
Índice general;Índice;2021M01;97,583
Índice general;Índice;2020M12;97,574
Índice general;Índice;2020M11;97,367
Índice general;Índice;2020M10;97,208
Índice general;Índice;2020M09;96,700
Índice general;Índice;2020M08;96,555
Índice general;Índice;2020M07;96,511
Índice general;Índice;2020M06;97,385
Índice general;Índice;2020M05;96,938
Índice general;Índice;2020M04;96,944
Índice general;Índice;2020M03;96,652
Índice general;Índice;2020M02;97,024
Índice general;Índice;2020M01;97,139
Índice general;Índice;2019M12;98,096
Índice general;Índice;2019M11;98,167
Índice general;Índice;2019M10;98,001
Índice general;Índice;2019M09;97,059
Índice general;Índice;2019M08;97,059
Índice general;Índice;2019M07;97,113
Índice general;Índice;2019M06;97,719
Índice general;Índice;2019M05;97,834
Índice general;Índice;2019M04;97,644
Índice general;Índice;2019M03;96,669
Índice general;Índice;2019M02;96,320
Índice general;Índice;2019M01;96,085
Índice general;Índice;2018M12;97,329
Índice general;Índice;2018M11;97,768
Índice general;Índice;2018M10;97,875
Índice general;Índice;2018M09;96,978
Índice general;Índice;2018M08;96,742
Índice general;Índice;2018M07;96,604
Índice general;Índice;2018M06;97,302
Índice general;Índice;2018M05;97,048
Índice general;Índice;2018M04;96,181
Índice general;Índice;2018M03;95,393
Índice general;Índice;2018M02;95,281
Índice general;Índice;2018M01;95,153
Índice general;Índice;2017M12;96,190
Índice general;Índice;2017M11;96,147
Índice general;Índice;2017M10;95,710
Índice general;Índice;2017M09;94,835
Índice general;Índice;2017M08;94,670
Índice general;Índice;2017M07;94,482
Índice general;Índice;2017M06;95,138
Índice general;Índice;2017M05;95,097
Índice general;Índice;2017M04;95,154
Índice general;Índice;2017M03;94,249
Índice general;Índice;2017M02;94,269
Índice general;Índice;2017M01;94,609
Índice general;Índice;2016M12;95,132
Índice general;Índice;2016M11;94,572
Índice general;Índice;2016M10;94,230
Índice general;Índice;2016M09;93,165
Índice general;Índice;2016M08;93,161
Índice general;Índice;2016M07;93,041
Índice general;Índice;2016M06;93,723
Índice general;Índice;2016M05;93,292
Índice general;Índice;2016M04;92,785
Índice general;Índice;2016M03;92,139
Índice general;Índice;2016M02;91,552
Índice general;Índice;2016M01;91,876
Índice general;Índice;2015M12;93,663
Índice general;Índice;2015M11;93,937
Índice general;Índice;2015M10;93,595
Índice general;Índice;2015M09;92,999
Índice general;Índice;2015M08;93,286
Índice general;Índice;2015M07;93,597
Índice general;Índice;2015M06;94,474
Índice general;Índice;2015M05;94,222
Índice general;Índice;2015M04;93,774
Índice general;Índice;2015M03;92,920
Índice general;Índice;2015M02;92,331
Índice general;Índice;2015M01;92,141
Índice general;Índice;2014M12;93,646
Índice general;Índice;2014M11;94,195
Índice general;Índice;2014M10;94,261
Índice general;Índice;2014M09;93,824
Índice general;Índice;2014M08;93,681
Índice general;Índice;2014M07;93,533
Índice general;Índice;2014M06;94,421
Índice general;Índice;2014M05;94,395
Índice general;Índice;2014M04;94,373
Índice general;Índice;2014M03;93,541
Índice general;Índice;2014M02;93,333
Índice general;Índice;2014M01;93,373
Índice general;Índice;2013M12;94,632
Índice general;Índice;2013M11;94,547
Índice general;Índice;2013M10;94,351
Índice general;Índice;2013M09;93,969
Índice general;Índice;2013M08;94,145
Índice general;Índice;2013M07;93,853
Índice general;Índice;2013M06;94,340
Índice general;Índice;2013M05;94,201
Índice general;Índice;2013M04;94,028
Índice general;Índice;2013M03;93,678
Índice general;Índice;2013M02;93,349
Índice general;Índice;2013M01;93,188
Índice general;Índice;2012M12;94,394
Índice general;Índice;2012M11;94,328
Índice general;Índice;2012M10;94,445
Índice general;Índice;2012M09;93,649
Índice general;Índice;2012M08;92,736
Índice general;Índice;2012M07;92,217
Índice general;Índice;2012M06;92,433
Índice general;Índice;2012M05;92,606
Índice general;Índice;2012M04;92,743
Índice general;Índice;2012M03;91,458
Índice general;Índice;2012M02;90,847
Índice general;Índice;2012M01;90,753
Índice general;Índice;2011M12;91,762
Índice general;Índice;2011M11;91,643
Índice general;Índice;2011M10;91,273
Índice general;Índice;2011M09;90,559
Índice general;Índice;2011M08;90,338
Índice general;Índice;2011M07;90,226
Índice general;Índice;2011M06;90,713
Índice general;Índice;2011M05;90,841
Índice general;Índice;2011M04;90,871
Índice general;Índice;2011M03;89,754
Índice general;Índice;2011M02;89,088
Índice general;Índice;2011M01;88,975
Índice general;Índice;2010M12;89,631
Índice general;Índice;2010M11;89,084
Índice general;Índice;2010M10;88,603
Índice general;Índice;2010M09;87,801
Índice general;Índice;2010M08;87,740
Índice general;Índice;2010M07;87,519
Índice general;Índice;2010M06;87,913
Índice general;Índice;2010M05;87,756
Índice general;Índice;2010M04;87,562
Índice general;Índice;2010M03;86,639
Índice general;Índice;2010M02;86,001
Índice general;Índice;2010M01;86,158
Índice general;Índice;2009M12;87,031
Índice general;Índice;2009M11;87,053
Índice general;Índice;2009M10;86,584
Índice general;Índice;2009M09;85,971
Índice general;Índice;2009M08;86,174
Índice general;Índice;2009M07;85,874
Índice general;Índice;2009M06;86,614
Índice general;Índice;2009M05;86,234
Índice general;Índice;2009M04;86,264
Índice general;Índice;2009M03;85,430
Índice general;Índice;2009M02;85,290
Índice general;Índice;2009M01;85,281
Índice general;Índice;2008M12;86,345
Índice general;Índice;2008M11;86,790
Índice general;Índice;2008M10;87,160
Índice general;Índice;2008M09;86,861
Índice general;Índice;2008M08;86,879
Índice general;Índice;2008M07;87,066
Índice general;Índice;2008M06;87,486
Índice general;Índice;2008M05;86,985
Índice general;Índice;2008M04;86,402
Índice general;Índice;2008M03;85,482
Índice general;Índice;2008M02;84,730
Índice general;Índice;2008M01;84,598
