Tipo de jornada;Grupo de edad;Decil;Periodo;Total
Jornada a tiempo completo;De 16 a 24 años;Total decil;2020;1.532,90
Jornada a tiempo completo;De 16 a 24 años;Total decil;2019;1.487,64
Jornada a tiempo completo;De 16 a 24 años;Total decil;2018;1.393,60
Jornada a tiempo completo;De 16 a 24 años;Total decil;2017;1.379,72
Jornada a tiempo completo;De 16 a 24 años;Total decil;2016;1.305,35
Jornada a tiempo completo;De 16 a 24 años;Total decil;2015;1.321,79
Jornada a tiempo completo;De 16 a 24 años;Total decil;2014;1.340,92
Jornada a tiempo completo;De 16 a 24 años;Total decil;2013;1.344,96
Jornada a tiempo completo;De 16 a 24 años;Total decil;2012;1.388,55
Jornada a tiempo completo;De 16 a 24 años;Total decil;2011;1.374,74
Jornada a tiempo completo;De 16 a 24 años;Total decil;2010;1.422,37
Jornada a tiempo completo;De 16 a 24 años;Total decil;2009;1.385,66
Jornada a tiempo completo;De 16 a 24 años;Total decil;2008;1.351,02
Jornada a tiempo completo;De 16 a 24 años;Total decil;2007;1.288,14
Jornada a tiempo completo;De 16 a 24 años;Total decil;2006;1.214,73
Jornada a tiempo completo;De 25 a 34 años;Total decil;2020;1.908,85
Jornada a tiempo completo;De 25 a 34 años;Total decil;2019;1.856,49
Jornada a tiempo completo;De 25 a 34 años;Total decil;2018;1.811,54
Jornada a tiempo completo;De 25 a 34 años;Total decil;2017;1.747,42
Jornada a tiempo completo;De 25 a 34 años;Total decil;2016;1.735,15
Jornada a tiempo completo;De 25 a 34 años;Total decil;2015;1.707,85
Jornada a tiempo completo;De 25 a 34 años;Total decil;2014;1.785,60
Jornada a tiempo completo;De 25 a 34 años;Total decil;2013;1.785,69
Jornada a tiempo completo;De 25 a 34 años;Total decil;2012;1.768,72
Jornada a tiempo completo;De 25 a 34 años;Total decil;2011;1.805,24
Jornada a tiempo completo;De 25 a 34 años;Total decil;2010;1.784,42
Jornada a tiempo completo;De 25 a 34 años;Total decil;2009;1.765,98
Jornada a tiempo completo;De 25 a 34 años;Total decil;2008;1.730,38
Jornada a tiempo completo;De 25 a 34 años;Total decil;2007;1.607,43
Jornada a tiempo completo;De 25 a 34 años;Total decil;2006;1.554,63
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2020;642,73
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2019;692,20
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2018;613,69
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2017;618,53
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2016;629,77
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2015;597,93
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2014;583,30
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2013;572,48
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2012;566,96
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2011;604,72
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2010;602,38
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2009;613,85
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2008;625,34
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2007;582,14
Jornada a tiempo parcial;De 16 a 24 años;Total decil;2006;571,28
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2020;775,70
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2019;824,14
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2018;752,55
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2017;736,48
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2016;741,71
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2015;706,64
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2014;702,68
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2013;695,99
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2012;695,32
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2011;727,59
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2010;742,21
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2009;748,10
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2008;705,45
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2007;686,87
Jornada a tiempo parcial;De 25 a 34 años;Total decil;2006;677,29
